Property Type,Property Subtype,Region,City,CP,Agency Name,Agency Email,Agency Phone,Type de vente,Price,Nombre de façades,Nombre de chambres,Nombre de salles de bain,Nombre de douches,Nombre de toilettes,Nombre de pièces,Nombre de parking intérieurs,Nombre de parking extérieurs,Type de cuisine,État du bâtiment,Surface habitable,Surface jardin,Surface totale,Basement,Dressing,Dining Room,Meublé,Cheminée,Terrasse,Jardin,Piscine
HOUSE,HOUSE,Flandres,Sint-Niklaas,9100,Uw-huis.be,uw-huis@contactme.skarabee.com,+32 52 46 38 03,BUY_REGULAR,319000,2,3,1,0,2,1,,,,GOOD,129,,172,0,0,0,0,0,0,0,0
HOUSE,APARTMENT_BLOCK,Bruxelles,Etterbeek,1040,Urban Concept sprl,urbancon_laeken@importfrommedia.be,+32 2 262 44 44,BUY_REGULAR,749000,2,8,5,0,5,,,,USA_SEMI_EQUIPPED,JUST_RENOVATED,220,,90,1,0,1,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Bruxelles,1020,Expertissimmo,expertissimmo_bruxelles@importfrommedia.be,+32 2 736 67 92,BUY_REGULAR,215000,2,2,1,1,1,,,,INSTALLED,GOOD,78,,,1,0,0,0,0,0,0,0
APARTMENT,DUPLEX,Wallonie,Edingen,7850,Destryker Vastgoed & Advies,wim@destryker.be,+32 2 356 61 60,BUY_REGULAR,339000,2,3,1,0,2,,,2,HYPER_EQUIPPED,AS_NEW,135,,,1,1,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Messancy Habergy,6782,Juliet Immo Belgique,storage6775_817@importfrommedia.be,,BUY_REGULAR,355000,3,3,1,1,2,,1,4,INSTALLED,GOOD,130,800,1320,0,0,1,0,0,0,1,0
APARTMENT,APARTMENT,Flandres,Anvers,2000,Bagg Immo,storage4192_378@importfrommedia.be,+32 3 344 18 28,BUY_REGULAR,225000,,1,1,0,,,,,,JUST_RENOVATED,43,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Braine-le-Château,1440,We Invest Waterloo,storage4563_948@importfrommedia.be,+32 2 319 46 46,BUY_REGULAR,575000,3,4,3,3,3,,,2,USA_HYPER_EQUIPPED,GOOD,181,201,610,1,0,1,0,0,0,1,0
HOUSE,APARTMENT_BLOCK,Bruxelles,Ixelles,1050,Charles Immo,charlesimmo@omniwebsites.be,,BUY_REGULAR,715000,,3,3,0,3,,,,SEMI_EQUIPPED,TO_RENOVATE,200,,0,1,0,0,0,1,0,1,0
HOUSE,HOUSE,Flandres,Gand,9000,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,289000,2,3,1,0,1,,,,USA_SEMI_EQUIPPED,TO_BE_DONE_UP,154,8,55,0,0,0,0,0,0,1,0
APARTMENT,APARTMENT,Flandres,Middelkerke,8430,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,265000,,2,1,0,1,3,,,,GOOD,70,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Braine-l'Alleud,1420,ERA Cedimmo – Braine-L’Alleud,Immoweb@erabelgium.be,+32 2 385 02 65,BUY_REGULAR,339000,3,3,1,0,,,1,,,,130,,425,0,0,1,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Woluwe-Saint-Pierre,1150,BATHIM & CO RESIDENTIAL,bathimco_bruxelles@importfrommedia.be,+32 2 733 00 00,BUY_REGULAR,655000,2,2,2,0,2,,,35,USA_HYPER_EQUIPPED,AS_NEW,114,,,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Bissegem,8501,Vastgoed Norman,vastgoednorman@contactme.skarabee.com,+32 56 25 26 19,BUY_REGULAR,227000,,2,1,0,1,2,1,,,GOOD,103,,,0,0,0,0,0,0,0,0
APARTMENT,GROUND_FLOOR,Flandres,Middelkerke,8430,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,139000,,0,1,0,1,1,,,,GOOD,35,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Rijkevorsel,2310,ERA Noord,immoweb@erabelgium.be,,BUY_REGULAR,395000,4,3,1,0,,,,,HYPER_EQUIPPED,,150,,987,1,0,1,0,0,0,0,0
APARTMENT,GROUND_FLOOR,Flandres,Beernem,8730,Myfin Immo,immo@my-fin.be,,BUY_REGULAR,349000,,2,1,0,1,3,,1,,GOOD,93,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Clavier,4560,GROUP SKYIMMO,demande@skyimmo.be,+32 4 250 02 61,BUY_REGULAR,499000,4,5,1,1,2,,1,2,INSTALLED,AS_NEW,196,887,1350,0,0,1,0,0,0,1,0
HOUSE,HOUSE,Flandres,Zonhoven,3520,ERA Nobis - Zonhoven,nobis@era.be,+32 11 35 14 00,BUY_REGULAR,245000,4,3,1,0,,,1,,,,166,,1182,1,0,0,0,0,0,0,0
HOUSE,APARTMENT_BLOCK,Flandres,Berchem (Antwerpen),2600,ERA De Kern,immoweb@erabelgium.be,+32 3 289 11 00,BUY_REGULAR,375000,2,4,2,0,,,,,,,150,,120,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Middelkerke,8430,Immo Francois,contact@immofrancois.be,+32 59 46 04 60,BUY_REGULAR,149000,,1,1,0,1,2,,,,JUST_RENOVATED,32,,,1,0,0,1,0,0,0,0
APARTMENT,APARTMENT,Wallonie,MARCINELLE,6001,I INVESTISSEMENT SPRL,info@iinvest.be,+32 71 11 51 15,BUY_REGULAR,130000,,2,1,0,1,6,,,INSTALLED,GOOD,,,,0,0,1,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Seraing,4100,GROUP SKYIMMO,demande@skyimmo.be,+32 4 250 02 61,BUY_REGULAR,139000,2,4,1,0,1,,,,SEMI_EQUIPPED,GOOD,120,,78,1,0,1,0,0,0,0,0
APARTMENT,PENTHOUSE,Bruxelles,Ixelles,1050,Immobilière Le Lion,storage7781_836@importfrommedia.be,+32 2 672 71 11,BUY_REGULAR,1295000,2,3,2,1,2,4,1,2,HYPER_EQUIPPED,AS_NEW,290,,,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Ixelles,1050,Maxime Real Estate,max-realestate-st-lamb@importfrommedia.be,+32 2 771 16 35,BUY_REGULAR,449000,2,2,1,0,1,,,1,HYPER_EQUIPPED,TO_BE_DONE_UP,95,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Desselgem,8792,Dewaele-woonvastgoed Waregem,waregem@dewaele.com,+32 56 60 56 05,BUY_REGULAR,189000,2,3,1,0,1,,,,INSTALLED,GOOD,130,,149,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Molenbeek-saint-jean,1080,Morgan's Real Estate - Morgan Cornelis,storage5863_711@importfrommedia.be,+32 2 430 24 86,BUY_REGULAR,329000,2,4,1,1,1,,1,,USA_INSTALLED,GOOD,144,,,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Wallonie,FLÉMALLE,7760,C. Roufosse Affaires Immobilières,roufousse-kfaah9@omniwebsites.be,+32 4 234 21 10,BUY_REGULAR,265000,2,2,1,0,2,,2,,NOT_INSTALLED,TO_RESTORE,65,,,1,0,0,0,1,0,0,0
HOUSE,TOWN_HOUSE,Flandres,Halle,1502,Immo Pické BV BVBA.,storage6011_791@importfrommedia.be,+32 2 331 62 69,BUY_REGULAR,285000,3,3,1,0,1,,,,NOT_INSTALLED,TO_RENOVATE,173,,746,0,0,0,0,0,0,0,0
APARTMENT,DUPLEX,Flandres,Gavere,9890,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,438775,4,3,2,0,1,,1,1,HYPER_EQUIPPED,AS_NEW,148,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Flawinne,5020,Immobilière Color,secretariat@color-immo.be,+32 84 41 26 69,BUY_REGULAR,315000,4,4,1,0,1,,,,INSTALLED,,169,,1740,1,0,0,0,0,0,1,0
APARTMENT,APARTMENT,Wallonie,Gerpinnes Gougnies,6280,L' Avenir Immobilier,info@avenir-immobilier.be,+32 71 22 11 41,BUY_REGULAR,175000,3,2,1,0,1,,,1,,,,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Saint-Nicolas,4420,GROUP SKYIMMO,demande@skyimmo.be,+32 4 250 02 61,BUY_REGULAR,239000,3,3,1,1,2,,1,2,INSTALLED,AS_NEW,151,,205,1,0,1,0,0,0,0,0
APARTMENT,DUPLEX,Flandres,Gavere,9890,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,435275,4,3,2,0,1,,1,1,HYPER_EQUIPPED,AS_NEW,146,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Tremelo,3128,Immo Marina Tremelo,tremelo_immomarina@contactme.skarabee.com,+32 16 53 00 45,BUY_REGULAR,212000,4,2,1,0,1,1,,,,GOOD,84,,500,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Bruxelles,Woluwe-Saint-Lambert,1200,Sorimo  - Bruxelles,sorimo_bruxelles@importfrommedia.be,+32 2 772 80 20,BUY_REGULAR,695000,3,4,1,0,2,,,,INSTALLED,GOOD,190,400,580,0,0,0,0,0,0,1,0
HOUSE,HOUSE,Flandres,Alost,9300,Vizit vastgoed,storage6122_831@importfrommedia.be,,BUY_REGULAR,378000,2,3,1,0,2,,1,,INSTALLED,GOOD,113,,808,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Bruxelles,1000,By the Way,storage5286_951@importfrommedia.be,+32 2 648 01 20,BUY_REGULAR,369000,2,2,1,1,1,,,1,USA_INSTALLED,AS_NEW,90,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Charleroi,6060,L'ESPOIR IMMOBILIER,info@lespoirimmobilier.be,,BUY_REGULAR,279000,3,4,1,0,3,,1,3,,GOOD,,1,633,1,0,1,0,0,0,1,0
APARTMENT,FLAT_STUDIO,Bruxelles,Etterbeek,1040,Expat Housing,Z12694@secure.fortissimmo.net,+32 2 880 84 90,BUY_REGULAR,160000,,0,1,0,1,7,,,SEMI_EQUIPPED,AS_NEW,29,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Brugge,8000,Puur Vastgoed,puurvastgoed@contactme.skarabee.com ,,BUY_REGULAR,419000,4,3,,0,2,1,1,1,,GOOD,,,314,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Zemst Eppegem,1980,Briljantimmo,briljantimmobvba_625@importfrommedia.be,+32 15 42 02 77,BUY_REGULAR,539000,3,6,2,2,3,,1,3,USA_HYPER_EQUIPPED,AS_NEW,,,511,0,0,0,0,0,0,0,1
APARTMENT,APARTMENT,Flandres,Deinze,9800,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,250000,2,1,1,0,1,,10,101,HYPER_EQUIPPED,AS_NEW,63,,,1,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Sint-Niklaas,9100,Uw-huis.be,uw-huis@contactme.skarabee.com,+32 52 46 38 03,BUY_REGULAR,315000,2,3,2,0,3,1,,,,GOOD,150,,159,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Maldegem,9990,Solvas Maldegem,consea_m@contactme.skarabee.com,+32 50 72 92 70,BUY_REGULAR,150000,4,2,1,0,1,1,,,,GOOD,92,,281,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Molenbeek-Saint-Jean,1080,We Invest Bruxelles Ouest,storage4563_101@importfrommedia.be,+32 2 315 77 22,BUY_REGULAR,229000,2,2,1,1,1,,1,,USA_SEMI_EQUIPPED,GOOD,86,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Aartselaar,2630,Vastgoed De Smet,storage6007_854@importfrommedia.be,+32 3 877 54 50,BUY_REGULAR,269000,,2,1,0,1,,,,,,105,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,De Haan,8420,Immo Francois,contact@immofrancois.be,+32 59 46 00 46,BUY_REGULAR,209000,,2,1,0,1,3,,,,GOOD,65,,,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Gavere,9890,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,368500,4,3,2,0,1,,1,1,HYPER_EQUIPPED,AS_NEW,111,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Hoogstraten,2320,ERA Noord,immoweb@erabelgium.be,,BUY_REGULAR,399000,2,2,1,0,,,,,HYPER_EQUIPPED,GOOD,109,,,0,0,0,0,0,0,0,0
HOUSE,BUNGALOW,Flandres,Ninove,9400,Vizit vastgoed,storage6122_831@importfrommedia.be,,BUY_REGULAR,399000,4,3,1,0,1,,1,3,INSTALLED,GOOD,122,615,1071,1,0,0,0,0,0,1,0
APARTMENT,APARTMENT,Flandres,Brasschaat,2930,Bagg Immo,storage4192_378@importfrommedia.be,+32 3 344 18 28,BUY_REGULAR,299000,,2,1,0,,,,,,JUST_RENOVATED,94,,,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Wallonie,Nivelles,1400,Urban Concept Sprl,urbancon_wavre@importfrommedia.be,+32 10 77 91 99,BUY_REGULAR,265000,2,2,1,0,1,,,,INSTALLED,GOOD,85,,,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Kortrijk,8500,ERA Becue,immoweb@erabelgium.be,+32 56 75 57 47,BUY_REGULAR,179000,2,0,,0,,,,,,,137,,890,0,0,0,0,0,0,0,0
HOUSE,VILLA,Wallonie,La Hulpe,1310,Immo IDS S.P.R.L.,natacha.michiels@immo-ids.be,+32 2 359 90 90,BUY_REGULAR,925000,4,4,2,0,3,1,1,2,,GOOD,200,2200,2200,0,0,0,0,0,0,1,0
