Property Type,Property Subtype,Region,City,CP,Agency Name,Agency Email,Agency Phone,Type de vente,Price,Nombre de façades,Nombre de chambres,Nombre de salles de bain,Nombre de douches,Nombre de toilettes,Nombre de pièces,Nombre de parking intérieurs,Nombre de parking extérieurs,Type de cuisine,État du bâtiment,Surface habitable,Surface jardin,Surface totale,Basement,Dressing,Dining Room,Meublé,Cheminée,Balcon,Terrasse,Jardin,Piscine
HOUSE,HOUSE,Flandres,Mol,2400,Matimmo Vastgoed,matimmo@omniwebsites.be,,BUY_REGULAR,225000,2,3,1,0,,,1,,,TO_RENOVATE,135,,185,0,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,Knokke-Heist,8300,IMMAX KNOKKE,info@immax.be,+32 50 62 44 14,BUY_REGULAR,945000,2,3,2,2,2,,,,USA_HYPER_EQUIPPED,AS_NEW,100,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Bruxelles,Molenbeek-Saint-Jean,1080,Flow Real Property,storage7151_115@importfrommedia.be,+32 2 304 69 98,BUY_REGULAR,230000,,2,1,0,1,,,,,GOOD,82,,,1,0,0,0,0,0,1,0,0
HOUSE,APARTMENT_BLOCK,Wallonie,Wavre,1300,GO IMMOBILIER,goimmobilier@omniwebsites.be,,BUY_REGULAR,525000,2,3,2,0,3,,,,,TO_BE_DONE_UP,157,,0,1,0,0,0,1,0,1,0,0
HOUSE,APARTMENT_BLOCK,Wallonie,Ans,4432,BHS IMMO,storage7296_779@importfrommedia.be,+32 4 370 23 70,BUY_REGULAR,349000,3,4,2,2,4,,2,5,SEMI_EQUIPPED,GOOD,220,86,425,1,0,1,0,0,0,1,1,0
HOUSE,EXCEPTIONAL_PROPERTY,Bruxelles,Uccle,1180,Immo Dussart Bruxelles,immodussart_68@importfrommedia.be,+32 2 640 22 22,BUY_REGULAR,1100000,4,8,2,2,4,9,,6,HYPER_EQUIPPED,TO_RENOVATE,310,2800,3056,1,0,0,0,0,0,1,1,0
APARTMENT,APARTMENT,Bruxelles,Laeken,1020,Residency,residenc_laeken@importfrommedia.be,+32 2 268 58 00,BUY_REGULAR,189000,2,1,1,0,1,,,,INSTALLED,GOOD,70,,,0,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Dikkelvenne,9890,Properties Makelaars,opertiesvastgoed_205@importfrommedia.be,,BUY_REGULAR,675000,4,4,2,0,2,,1,3,,TO_RENOVATE,248,,3466,0,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Bruxelles,Koekelberg,1081,TRIOR Jette,triorwaterloo_669@importfrommedia.be,+32 2 430 37 30,BUY_REGULAR,250000,2,2,1,0,1,,1,,INSTALLED,GOOD,110,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Wallonie,Huy,4500,Trevi Rasquain,trevi-rasquain@omniwebsites.be,+32 85 25 39 03,BUY_REGULAR,165000,4,2,1,0,1,,,,SEMI_EQUIPPED,TO_BE_DONE_UP,100,,,1,0,0,0,1,0,1,0,0
HOUSE,HOUSE,Flandres,Zellik,1731,CENTURY 21 Beyto,beyto@omniwebsites.be,+32 2 309 65 88,BUY_REGULAR,469000,3,4,1,0,,,1,1,,GOOD,180,,320,1,0,0,0,1,0,0,0,0
APARTMENT,DUPLEX,Wallonie,Namur,5000,Latour et Petit Namur Vente,latourpetit_407@importfrommedia.be,+32 81 30 34 04,BUY_REGULAR,249000,2,1,1,1,1,,1,4,USA_INSTALLED,AS_NEW,55,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Bruxelles,Woluwe-Saint-Pierre,1150,Sorimo  - Bruxelles,sorimo_bruxelles@importfrommedia.be,+32 2 772 80 20,BUY_REGULAR,475000,2,3,,1,2,,1,,HYPER_EQUIPPED,GOOD,120,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,Knokke-Heist,8300,IMMAX KNOKKE,info@immax.be,+32 50 62 44 14,BUY_REGULAR,995000,2,2,1,2,2,3,,,HYPER_EQUIPPED,AS_NEW,70,,,0,0,0,1,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,Gent Sint-Amandsberg,9040,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,280000,3,2,1,0,1,,,,,TO_BE_DONE_UP,110,,,0,0,0,0,0,0,1,0,0
APARTMENT,DUPLEX,Bruxelles,Etterbeek,1040,Tervuren Development,rds@arstline.eu ,,BUY_REGULAR,1150000,,3,3,0,3,,,,HYPER_EQUIPPED,AS_NEW,201,,,0,1,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Knokke-Heist,8300,Immo Fevery,immofeve_knokke-heist@importfrommedia.be,+32 50 66 20 20,BUY_REGULAR,750000,2,3,2,0,2,,,,HYPER_EQUIPPED,GOOD,87,,,1,0,0,0,0,0,1,0,0
HOUSE,VILLA,Flandres,Wilrijk,2610,Las Immobilien,lasimmo@omniwebsites.be,+32 3 440 39 39,BUY_REGULAR,5000000,4,6,6,0,,,,6,INSTALLED,JUST_RENOVATED,825,,1867,0,0,0,0,1,0,0,0,1
APARTMENT,APARTMENT,Bruxelles,Koekelberg,1081,Flow Real Property,storage7151_115@importfrommedia.be,+32 2 304 69 98,BUY_REGULAR,230000,2,2,1,0,1,,1,1,INSTALLED,GOOD,90,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,Grammont,9500,Cornelis & Partners,cornelis@importfrommedia.be,,BUY_REGULAR,260000,2,2,1,0,1,,,,,AS_NEW,98,,,1,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Tirlemont,3300,GVE Immobilien,gveimmob_bertem@importfrommedia.be,+32 16 56 56 14,BUY_REGULAR,239000,2,3,1,0,2,,,,,AS_NEW,135,35,130,1,0,0,0,0,0,1,1,0
HOUSE,VILLA,,San Javier,30720,My 2nd Place,myplacer_my2ndplace@importfrommedia.be,,BUY_REGULAR,370000,4,3,2,0,2,,,1,INSTALLED,AS_NEW,110,,165,0,0,0,0,0,0,1,0,1
HOUSE,EXCEPTIONAL_PROPERTY,Wallonie,La Hulpe,1310,Immo Regard,immoregard_lahulpe@importfrommedia.be,+32 2 653 09 40,BUY_REGULAR,820000,4,5,4,4,2,,1,,USA_HYPER_EQUIPPED,AS_NEW,280,1619,1619,1,0,1,0,0,0,1,1,0
HOUSE,HOUSE,Flandres,Outer,9406,Immo Marc Bvba,immo.marc@contactme.skarabee.com,+32 54 32 65 50,BUY_REGULAR,190000,2,2,1,0,1,,,,INSTALLED,TO_BE_DONE_UP,114,,120,0,0,0,0,0,0,0,0,0
APARTMENT,GROUND_FLOOR,Flandres,Dilbeek,1702,Living Stone Dilbeek,pajota_dilbeek@importfrommedia.be,+32 2 466 05 75,BUY_REGULAR,319000,2,2,1,0,1,,,,INSTALLED,GOOD,66,,,0,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,Schilde,2970,De Boer & Partners Schilde,deboer_schilde@importfrommedia.be,+32 3 466 10 66,BUY_REGULAR,410000,,2,2,0,,,1,1,,,130,,,0,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Geraardsbergen Ophasselt,9500,Immo De Ras,immowebimmoderas@importfrommedia.be,+32 53 60 65 60,BUY_REGULAR,449000,3,3,1,0,2,,1,2,HYPER_EQUIPPED,AS_NEW,168,150,480,0,0,0,0,0,0,1,1,0
HOUSE,APARTMENT_BLOCK,Bruxelles,Anderlecht,1070,Hestia Immobilier,hestiaim_ganshoren@importfrommedia.be,,BUY_REGULAR,430000,2,3,,2,2,,,,INSTALLED,AS_NEW,161,40,115,1,0,1,0,0,0,1,1,0
HOUSE,HOUSE,Wallonie,FLÉMALLE,4400,Immobilière Bertrand Nandrin,xavierbertrand2@omniwebsites.be,+32 85 31 31 15,BUY_REGULAR,249000,4,3,1,0,,,,,INSTALLED,TO_BE_DONE_UP,95,,891,1,0,0,0,1,0,1,1,0
HOUSE,HOUSE,Flandres,Schilde,2970,Antwerp Sotheby's International Realty,brussels_antwerpen@importfrommedia.be,+32 3 647 30 72,BUY_REGULAR,1500000,4,5,2,0,,6,1,4,,TO_RENOVATE,650,,9005,1,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Grammont,9500,IMMO BEGUIN,immobeguin@omniwebsites.be,,BUY_REGULAR,399000,4,5,1,0,2,,2,8,USA_INSTALLED,TO_BE_DONE_UP,275,,1600,1,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Flandres,Kortessem,3720,Era Nobis - Herk-de-Stad,nobis@era.be,+32 11 35 14 00,BUY_REGULAR,280000,4,2,1,0,,,,,HYPER_EQUIPPED,GOOD,92,,,1,0,1,0,0,0,1,0,0
APARTMENT,APARTMENT,Wallonie,Liège,4020,SODIMO SA,sodimo@omniwebsites.be,+32 4 254 10 01,BUY_REGULAR,145000,,1,1,0,1,,,,,,69,,,1,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Wallonie,Huy,4500,Etudes Notariales associées,info@lesnotaires.be,+32 85 25 00 55,BUY_REGULAR,265000,,2,,1,1,,1,,INSTALLED,AS_NEW,91,,,0,0,1,0,0,0,1,0,0
HOUSE,TOWN_HOUSE,Flandres,Deerlijk,8540,VG Vastgoed,info@vgvastgoed.be,,BUY_REGULAR,298000,,3,1,0,2,4,,1,,JUST_RENOVATED,126,120,250,1,0,0,0,0,0,1,1,0
HOUSE,HOUSE,Flandres,Gent,9000,IMMO 09,immo09@contactme.skarabee.com,+32 9 273 69 99,BUY_REGULAR,439000,4,2,2,0,3,1,,,,,,,136,0,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Deux-Acren,7864,YAKimmo,erika@yakimmo.be,+32 2 355 17 51,BUY_REGULAR,285000,2,4,,1,2,,,1,HYPER_EQUIPPED,AS_NEW,140,150,240,1,0,0,0,0,0,1,1,0
APARTMENT,APARTMENT,Bruxelles,Ganshoren,1083,CENTURY 21 Best House,storage8511_136@importfrommedia.be,+32 2 268 21 50,BUY_REGULAR,269000,2,2,1,0,1,,,,,TO_BE_DONE_UP,86,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,BERCHEM,2600,Immo Vivo,vivo@omniwebsites.be,+32 3 459 89 59,BUY_REGULAR,159000,2,1,1,0,1,,,,SEMI_EQUIPPED,,62,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,Gand,9000,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,419000,2,3,2,0,2,,1,,HYPER_EQUIPPED,AS_NEW,140,,,0,0,0,0,0,0,1,0,0
APARTMENT,FLAT_STUDIO,Wallonie,Tournai,7500,Agence Leclercq,agencele_tournai@importfrommedia.be,+32 69 89 18 91,BUY_REGULAR,72500,,0,1,0,1,,,,,GOOD,25,,,0,0,0,0,0,0,0,0,0
APARTMENT,DUPLEX,Wallonie,Braine-le-Château,1440,IVA Immobilière,storage5673_860@importfrommedia.be,+32 2 850 03 63,BUY_REGULAR,399000,,4,2,1,3,,,2,INSTALLED,AS_NEW,172,,,1,0,0,0,0,0,1,0,0
HOUSE,BUNGALOW,Flandres,Hamme,9220,Janssen en Janssen,hamme-janssenenjanssen@omniwebsites.be,+32 52 50 50 00,BUY_REGULAR,590000,4,3,1,1,2,,25,15,HYPER_EQUIPPED,GOOD,147,1800,2405,0,0,0,0,1,0,1,1,0
HOUSE,VILLA,Flandres,Ranst,2520,Tom Geenen Vastgoed,info@tomgeenen.be,+32 3 283 83 84,BUY_REGULAR,745000,4,3,1,1,2,10,1,1,INSTALLED,AS_NEW,175,950,1050,0,0,0,0,0,0,0,1,0
HOUSE,VILLA,Flandres,Deurle,9831,Agence Demanet,demanet@omniwebsites.be,,BUY_REGULAR,3700000,4,4,4,0,,5,6,2,INSTALLED,GOOD,608,,5101,1,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Flandres,Lier Koningshooikt,2500,De Boer & Partners Lier,deboer_673@importfrommedia.be,+32 3 302 42 32,BUY_REGULAR,362500,2,2,1,0,2,,1,,HYPER_EQUIPPED,,130,,,0,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,WINKSELE,3020,A Property - Pelsmaekers,app@omniwebsites.be,,BUY_REGULAR,379000,,3,1,0,1,,2,2,,,190,,1200,1,0,0,0,1,0,0,1,0
HOUSE,HOUSE,Flandres,Duffel,2570,Reds Group,storage8013_994@importfrommedia.be,+32 3 227 58 58,BUY_REGULAR,427000,2,4,1,0,2,,1,1,,GOOD,180,150,276,0,0,0,0,0,0,1,1,0
HOUSE,HOUSE,Flandres,ZWEVEGEM,8550,Property Vastgoed,propertyvastgoed@omniwebsites.be,+32 56 96 08 00,BUY_REGULAR,219000,2,2,1,0,1,,,,INSTALLED,GOOD,146,,101,0,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Wallonie,Mesnil-Saint-Blaise,5560,Vos Agences Condrogest Beauraing,beauraing@condrogest.be,+32 82 71 33 47,BUY_REGULAR,274000,2,3,1,0,2,4,,1,,GOOD,145,592,592,0,0,0,0,0,0,1,1,0
APARTMENT,APARTMENT,,Cadzand,4506 JL,Woningonline,victor@woningonline.be,,BUY_REGULAR,790000,2,2,1,0,,3,,1,INSTALLED,GOOD,113,,,0,0,1,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Geraardsbergen,9500,Immo Marc Bvba,immo.marc@contactme.skarabee.com,+32 54 32 65 50,BUY_REGULAR,139000,,3,1,0,1,,,,,GOOD,,,0,0,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Oostende,8400,Immo Sleutel,Info@immosleutel.be,+32 50 70 70 70,BUY_REGULAR,215000,,1,1,1,1,9,,,INSTALLED,GOOD,64,,,1,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Bruxelles,Auderghem,1160,Sorimo  - Bruxelles,sorimo_bruxelles@importfrommedia.be,+32 2 772 80 20,BUY_REGULAR,750000,2,3,2,0,3,,,,USA_HYPER_EQUIPPED,AS_NEW,150,100,195,1,0,1,0,0,0,1,1,0
APARTMENT,APARTMENT,Flandres,Gand,9000,Oranjeberg,200776@secure.fortissimmo.net,+32 9 310 93 10,BUY_REGULAR,289000,,1,1,0,1,,,,,JUST_RENOVATED,50,,,0,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Ronse,9600,Immo Nobels,99479@secure.fortissimmo.net,+32 55 30 92 90,BUY_REGULAR,143000,2,4,1,0,1,12,,,,TO_RENOVATE,142,3,90,0,0,0,0,0,0,0,1,0
HOUSE,APARTMENT_BLOCK,Bruxelles,Laeken,1020,Urban Concept sprl,urbancon_laeken@importfrommedia.be,+32 2 262 44 44,BUY_REGULAR,730000,2,6,3,2,3,,,,HYPER_EQUIPPED,TO_BE_DONE_UP,300,320,506,1,0,0,0,0,0,1,1,0
APARTMENT,APARTMENT,Bruxelles,Evere,1140,Latour et Petit Vente,latouretpetitvente@importfrommedia.be,+32 2 777 19 19,BUY_REGULAR,545000,2,3,2,2,2,,,1,USA_HYPER_EQUIPPED,AS_NEW,140,,,1,0,1,0,0,0,1,0,0
APARTMENT,APARTMENT,Wallonie,Waterloo,1410,Aryes Properties s.p.r.l,aryesproperties2_wavre@importfrommedia.be ,+32 10 87 20 00,BUY_REGULAR,399000,,1,1,0,,,,,,,91,,,0,0,0,0,0,0,1,0,0
HOUSE,TOWN_HOUSE,Wallonie,Liège,4000,Groupe Cadimmo Trooz-Liège-Sprimont,cadimmo_trooz@importfrommedia.be,+32 4 275 55 51,BUY_REGULAR,235000,2,2,1,1,2,,1,,INSTALLED,GOOD,120,250,434,1,0,1,0,0,0,1,1,0
HOUSE,HOUSE,Bruxelles,Auderghem,1160,Bureau Immobilier Belge,bureauim_auderghem@importfrommedia.be,+32 2 735 40 88,BUY_REGULAR,575000,2,5,1,0,2,,,,INSTALLED,GOOD,220,70,150,1,0,0,0,0,0,1,1,0
APARTMENT,APARTMENT,Flandres,Waregem,8790,IMMO BEGUIN,beguinwaregem@omniwebsites.be,,BUY_REGULAR,275000,2,2,1,0,2,,,,INSTALLED,TO_BE_DONE_UP,112,,,1,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Flandres,Bornem,2880,Hestor,hestor@contactme.skarabee.com,+32 52 20 05 05,BUY_REGULAR,349000,,2,1,0,1,1,,1,,GOOD,86,10,,0,0,0,0,0,0,0,1,0
APARTMENT,APARTMENT,Flandres,Beringen,3580,Het Vastgoedkantoor Beringen,hetvastgoedkantoorberingen@omniwebsites.be,+32 11 85 15 15,BUY_REGULAR,375000,,4,2,0,,,,,,,180,,,1,0,0,0,1,0,0,0,0
APARTMENT,APARTMENT,Flandres,Waregem,8790,Immo AD NV,immo-ad@omniwebsites.be,+32 55 21 48 08,BUY_REGULAR,275000,4,3,1,0,2,,1,,SEMI_EQUIPPED,TO_BE_DONE_UP,158,,,0,0,0,0,1,0,1,0,0
HOUSE,MIXED_USE_BUILDING,Wallonie,Braine-le-Comte,7090,ALEX INVEST IMMOBILIER SPRL,info@alexinvest.be,+32 64 70 01 45,BUY_REGULAR,560000,2,8,3,0,4,,,,SEMI_EQUIPPED,GOOD,583,,320,1,0,0,0,0,0,1,0,0
HOUSE,VILLA,Wallonie,Malmedy,4960,Engel & Völkers Liège,liege@engelvoelkers.com,+32 4 270 34 14,BUY_REGULAR,745000,4,4,4,0,,,,4,INSTALLED,GOOD,330,,3384,1,0,0,0,0,0,1,0,1
HOUSE,HOUSE,Flandres,Eeklo,9900,Qubic Vastgoed,quinten@qubic-vastgoed.be,,BUY_REGULAR,245000,,4,2,0,,,,,INSTALLED,TO_BE_DONE_UP,154,,234,0,0,0,0,0,0,0,1,0
HOUSE,VILLA,Wallonie,Andenne,5300,Bureau Godin – Liège,bureau-godin_grivegnee@importfrommedia.be,+32 4 222 90 09,BUY_REGULAR,549000,4,4,1,0,2,,,,HYPER_EQUIPPED,AS_NEW,177,325,783,0,0,0,0,0,0,1,1,1
APARTMENT,DUPLEX,Flandres,Halle,1500,Macnash Lembeek,macnash-lembeek@omniwebsites.be,+32 2 881 17 88,BUY_REGULAR,299000,2,2,1,0,,,,,INSTALLED,GOOD,140,,,0,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Bruxelles,Anderlecht,1070,Cornelis & Partners Geraardsbergen,storage5289_17@importfrommedia.be,,BUY_REGULAR,270000,2,3,1,0,1,,,,INSTALLED,GOOD,102,,,1,0,0,0,0,0,1,0,0
APARTMENT,APARTMENT,Flandres,Brasschaat,2930,Heylen Vastgoed Brasschaat,heylenvastgoed@omniwebsites.be,+32 3 555 41 11,BUY_REGULAR,229000,,2,1,0,,,,,INSTALLED,JUST_RENOVATED,72,,,0,0,0,0,1,0,0,0,0
HOUSE,HOUSE,Flandres,Anvers,2020,Copandi Antwerpen,storage8026_327@importfrommedia.be,,BUY_REGULAR,309000,2,4,2,0,2,,,,NOT_INSTALLED,GOOD,174,,99,1,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Lede,9340,Groep BG,info@groepbg.be,+32 54 58 72 61,BUY_REGULAR,275000,4,3,1,0,1,12,,,INSTALLED,TO_RENOVATE,120,,1140,0,0,0,0,0,0,0,0,0
APARTMENT,FLAT_STUDIO,Bruxelles,Etterbeek,1040,Expertissimmo,expertissimmo_bruxelles@importfrommedia.be,+32 2 736 67 92,BUY_REGULAR,165000,3,0,1,3,1,,,,SEMI_EQUIPPED,GOOD,36,,,1,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Wallonie,Vise,4601,SCHMIDTIMMO,immobiliereschmidtwallonie@importfrommedia.be,+32 4 246 00 00,BUY_REGULAR,85000,4,1,1,0,,,,,INSTALLED,TO_RENOVATE,82,,220,0,0,0,0,0,0,1,0,0
HOUSE,HOUSE,Flandres,Harelbeke,8530,Dekeyser Immo,201445@secure.fortissimmo.net,+32 460 96 65 99,BUY_REGULAR,395000,,3,2,0,2,16,1,,INSTALLED,,160,,500,0,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Knokke,8300,Agence Pallen,200029@secure.fortissimmo.net,+32 50 63 16 31,BUY_REGULAR,2375000,,2,2,0,2,14,1,,,GOOD,105,,,0,0,0,0,0,0,0,0,0
HOUSE,HOUSE,Flandres,Gent Sint-Amandsberg,9040,Immo Da Vinci,cryptxim_gent@importfrommedia.be,+32 9 273 55 55,BUY_REGULAR,535000,3,3,1,0,2,,1,2,INSTALLED,,136,177,264,0,0,0,0,0,0,1,1,0
APARTMENT,GROUND_FLOOR,Wallonie,Houyet,5560,AGENCE PETYT,agencepetyt@omniwebsites.be,+32 81 44 40 22,BUY_REGULAR,76050,4,1,1,0,1,,,5,,GOOD,107,,,1,0,0,0,1,0,0,0,0
APARTMENT,APARTMENT,Flandres,Alost,9300,Immo Nuvo,bricks@omniwebsites.be ,+32 53 70 80 90,BUY_REGULAR,589000,2,3,2,0,2,,,,INSTALLED,GOOD,257,,,1,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Wallonie,Liège,4000,DOR & BLEUS Immobilier,dorenbleus@omniwebsites.be,+32 4 223 21 88,BUY_REGULAR,139000,2,1,1,0,,,,,INSTALLED,,60,,,0,0,0,0,1,0,0,0,0
HOUSE,VILLA,Flandres,Opwijk,1745,Albert Halle,alberthalle@contactme.skarabee.com,+32 80 02 52 37,BUY_REGULAR,695000,4,3,1,0,2,3,2,,,GOOD,230,,1351,0,0,0,0,1,0,1,0,0
APARTMENT,APARTMENT,Flandres,Nieuwpoort,8620,ARCOM,99449@secure.fortissimmo.net,+32 58 52 01 01,BUY_REGULAR,795000,,2,1,0,1,13,,,,,,,,0,0,0,0,0,0,0,0,0
APARTMENT,APARTMENT,Flandres,Ekeren,2180,Hans immo.,hansimmo-wr5pzi@omniwebsites.be,+32 3 290 30 30,BUY_REGULAR,325000,2,2,1,0,1,,1,,INSTALLED,GOOD,83,,,0,0,0,0,1,0,1,0,0
HOUSE,HOUSE,Wallonie,Chapelle-lez-Herlaimont,7160,Pacimmo,pacimmo_832@importfrommedia.be,+32 71 32 53 25,BUY_REGULAR,249900,2,3,2,2,2,,,,INSTALLED,GOOD,135,520,630,1,0,1,0,0,0,1,1,0
APARTMENT,APARTMENT,Flandres,Gand,9000,Axel Lenaerts makelaars Gent,axellenaertsgent@omniwebsites.be,+32 9 245 24 24,BUY_REGULAR,395000,4,2,1,0,1,,1,,INSTALLED,,103,,,0,0,0,0,1,0,1,0,0
HOUSE,EXCEPTIONAL_PROPERTY,Wallonie,Mons,7000,Vaneau Lecobel Bruxelles  Est,lecobel_ixelles_125@importfrommedia.be,+32 2 669 70 90,BUY_REGULAR,1200000,4,7,3,3,5,,5,10,USA_HYPER_EQUIPPED,GOOD,650,630,2000,1,0,1,0,0,0,1,1,1
HOUSE,HOUSE,Flandres,Knokke-Heist,8300,Immo BIS NV,immobis@contactme.skarabee.com,+32 50 63 20 41,BUY_REGULAR,3650000,3,4,4,0,2,1,2,2,,GOOD,542,,194,1,0,0,0,0,0,1,0,0
HOUSE,VILLA,Wallonie,Silenrieux,5630,Century 21 Les Lacs - Beaux Villages,administration@century21leslacs.be,+32 71 61 30 59,BUY_REGULAR,325000,4,3,1,1,3,,2,8,INSTALLED,,283,,9760,1,0,0,0,0,0,1,0,0
HOUSE,VILLA,Flandres,Steenokkerzeel,1820,Nest Seekers International,belgium@nestseekers.com,+32 3 535 22 19,BUY_REGULAR,1295000,4,5,3,3,4,,1,6,HYPER_EQUIPPED,AS_NEW,400,1000,1450,0,1,0,0,0,0,1,1,0
